B02, Trade, 85942.067, 139, B02, S17, 1
B02, Trade, 85946.533, 126, S00, B02, 1
B02, Trade, 85951.083, 135, B02, S10, 1
B02, Trade, 85954.967, 118, S12, B02, 1
B02, Trade, 85961.683, 140, B02, S05, 1
B02, Trade, 85965.417, 136, S20, B02, 1
B02, Trade, 85970.200, 138, B02, S12, 1
B02, Trade, 85977.667, 140, B02, S17, 1
B02, Trade, 85980.900, 128, S20, B02, 1
B02, Trade, 85986.133, 140, B02, S06, 1
B02, Trade, 85994.500, 128, S13, B02, 1
B02, Trade, 85999.317, 99, S13, B02, 1
B02, Trade, 86004.883, 139, S20, B02, 1
B02, Trade, 86010.350, 139, B02, S03, 1
B02, Trade, 86013.667, 136, S03, B02, 1
B02, Trade, 86017.350, 137, S17, B02, 1
B02, Trade, 86024.667, 119, S00, B02, 1
B02, Trade, 86029.433, 140, B02, S07, 1
B02, Trade, 86030.833, 140, B02, S00, 1
B02, Trade, 86036.333, 129, S19, B02, 1
B02, Trade, 86042.650, 139, B02, S09, 1
B02, Trade, 86048.550, 134, B02, S24, 1
B02, Trade, 86052.033, 131, S00, B02, 1
B02, Trade, 86058.183, 138, S20, B02, 1
B02, Trade, 86062.383, 140, B02, S02, 1
B02, Trade, 86066.450, 130, S19, B02, 1
B02, Trade, 86073.783, 125, S13, B02, 1
B02, Trade, 86075.933, 125, S23, B02, 1
B02, Trade, 86083.833, 137, B02, S22, 1
B02, Trade, 86090.300, 133, S19, B02, 1
B02, Trade, 86095.600, 123, S20, B02, 1
B02, Trade, 86104.733, 139, B02, S18, 1
B02, Trade, 86112.017, 139, B02, S17, 1
B02, Trade, 86116.083, 137, S29, B02, 1
B02, Trade, 86118.217, 126, S20, B02, 1
B02, Trade, 86125.017, 139, B02, S05, 1
B02, Trade, 86129.517, 127, S00, B02, 1
B02, Trade, 86132.867, 138, S20, B02, 1
B02, Trade, 86140.400, 139, B02, S28, 1
B02, Trade, 86146.567, 136, S00, B02, 1
B02, Trade, 86153.900, 126, S21, B02, 1
B02, Trade, 86162.550, 140, B02, S28, 1
B02, Trade, 86166.200, 134, S19, B02, 1
B02, Trade, 86170.567, 139, S22, B02, 1
B02, Trade, 86179.167, 111, S00, B02, 1
B02, Trade, 86185.417, 140, B02, S23, 1
B02, Trade, 86190.650, 137, B02, S14, 1
B02, Trade, 86193.383, 110, S29, B02, 1
B02, Trade, 86200.983, 118, S20, B02, 1
B02, Trade, 86204.383, 126, S19, B02, 1
B02, Trade, 86209.600, 139, B02, S28, 1
B02, Trade, 86213.700, 131, S20, B02, 1
B02, Trade, 86221.433, 125, S12, B02, 1
B02, Trade, 86224.167, 125, S20, B02, 1
B02, Trade, 86229.817, 133, S29, B02, 1
B02, Trade, 86235.983, 128, S02, B02, 1
B02, Trade, 86239.933, 121, S00, B02, 1
B02, Trade, 86244.517, 139, B02, S26, 1
B02, Trade, 86248.283, 130, S20, B02, 1
B02, Trade, 86252.400, 137, S20, B02, 1
B02, Trade, 86261.417, 138, B02, S21, 1
B02, Trade, 86267.333, 119, S05, B02, 1
B02, Trade, 86274.283, 137, B02, S24, 1
B02, Trade, 86278.900, 115, S05, B02, 1
B02, Trade, 86287.467, 139, B02, S22, 1
B02, Trade, 86289.617, 133, S00, B02, 1
B02, Trade, 86292.517, 140, B02, S02, 1
B02, Trade, 86300.183, 140, B02, S10, 1
B02, Trade, 86305.467, 136, S27, B02, 1
B02, Trade, 86307.317, 120, S13, B02, 1
B02, Trade, 86312.900, 140, B02, S10, 1
B02, Trade, 86317.567, 121, S13, B02, 1
B02, Trade, 86325.517, 140, B02, S27, 1
B02, Trade, 86330.000, 140, B02, S10, 1
B02, Trade, 86336.750, 129, S19, B02, 1
B02, Trade, 86341.283, 131, S27, B02, 1
B02, Trade, 86344.500, 122, S19, B02, 1
B02, Trade, 86351.333, 137, B02, S02, 1
B02, Trade, 86356.733, 129, S19, B02, 1
B02, Trade, 86361.717, 140, B02, S03, 1
B02, Trade, 86365.800, 139, B02, S01, 1
B02, Trade, 86367.367, 137, S19, B02, 1
B02, Trade, 86377.133, 137, B02, S29, 1
B02, Trade, 86382.067, 133, S13, B02, 1
B02, Trade, 86386.500, 110, S23, B02, 1
B02, Trade, 86388.400, 139, B02, S27, 1
B02, Trade, 86392.683, 139, S11, B02, 1
B03, 100
B03, Trade, 84898.917, 110, S15, B03, 1
B03, Trade, 84904.133, 120, S22, B03, 1
B03, Trade, 84915.250, 108, S20, B03, 1
B03, Trade, 84923.100, 116, B03, S10, 1
B03, Trade, 84933.700, 116, B03, S01, 1
B03, Trade, 84941.967, 133, B03, S01, 1
B03, Trade, 84947.533, 94, B03, S25, 1
B03, Trade, 84999.633, 132, B03, S29, 1
B03, Trade, 85007.983, 100, B03, S06, 1
B03, Trade, 85019.967, 116, S24, B03, 1
B03, Trade, 85051.500, 124, B03, S02, 1
B03, Trade, 85060.667, 88, B03, S29, 1
B03, Trade, 85069.700, 96, B03, S29, 1
B03, Trade, 85083.450, 92, B03, S24, 1
B03, Trade, 85087.600, 137, B03, S24, 1
B03, Trade, 85093.867, 111, S25, B03, 1
B03, Trade, 85103.450, 122, B03, S05, 1
B03, Trade, 85113.967, 107, B03, S02, 1
B03, Trade, 85156.217, 129, B03, S15, 1
B03, Trade, 85216.650, 107, B03, S05, 1
B03, Trade, 85220.300, 109, B03, S25, 1
B03, Trade, 85243.450, 117, B03, S15, 1
B03, Trade, 85252.050, 127, S20, B03, 1
B03, Trade, 85255.167, 109, B03, S03, 1
B03, Trade, 85283.383, 115, B03, S23, 1
B03, Trade, 85293.917, 118, B03, S17, 1
B03, Trade, 85298.133, 123, B03, S24, 1
B03, Trade, 85307.233, 85, B03, S22, 1
B03, Trade, 85316.667, 122, B03, S10, 1
B03, Trade, 85348.317, 130, B03, S25, 1
B03, Trade, 85368.300, 118, B03, S20, 1
B03, Trade, 85373.683, 110, B03, S21, 1
B03, Trade, 85379.183, 98, B03, S07, 1
B03, Trade, 85419.917, 116, B03, S23, 1
B03, Trade, 85424.933, 125, B03, S06, 1
B03, Trade, 85436.483, 113, B03, S18, 1
B03, Trade, 85445.267, 119, S28, B03, 1
B03, Trade, 85450.350, 94, B03, S08, 1
B03, Trade, 85454.933, 113, B03, S17, 1
B03, Trade, 85490.883, 115, S23, B03, 1
B03, Trade, 85517.517, 113, B03, S24, 1
B03, Trade, 85536.250, 103, B03, S28, 1
B03, Trade, 85552.183, 113, B03, S09, 1
B03, Trade, 85553.533, 121, S20, B03, 1
B03, Trade, 85565.850, 108, B03, S21, 1
B03, Trade, 85574.050, 123, B03, S03, 1
B03, Trade, 85582.483, 112, B03, S12, 1
B03, Trade, 85597.050, 115, S20, B03, 1
B03, Trade, 85603.983, 92, S22, B03, 1
