B02, Trade, 85434.150, 123, B02, S11, 1
B02, Trade, 85451.850, 121, B02, S00, 1
B02, Trade, 85460.083, 113, B02, S29, 1
B02, Trade, 85468.500, 81, B02, S09, 1
B02, Trade, 85478.417, 98, B02, S04, 1
B02, Trade, 85509.600, 108, B02, S03, 1
B02, Trade, 85535.950, 120, B02, S16, 1
B02, Trade, 85546.950, 124, B02, S07, 1
B02, Trade, 85552.533, 121, B02, S17, 1
B02, Trade, 85555.383, 118, B02, S07, 1
B02, Trade, 85573.667, 113, B02, S03, 1
B02, Trade, 85583.233, 110, B02, S22, 1
B02, Trade, 85599.083, 122, B02, S17, 1
B02, Trade, 85628.550, 122, S26, B02, 1
B02, Trade, 85640.117, 121, S06, B02, 1
B02, Trade, 85655.517, 127, B02, S22, 1
B02, Trade, 85661.983, 118, B02, S15, 1
B02, Trade, 85682.183, 114, B02, S25, 1
B02, Trade, 85697.350, 99, B02, S29, 1
B02, Trade, 85730.217, 116, B02, S00, 1
B02, Trade, 85748.933, 115, B02, S25, 1
B02, Trade, 85778.817, 122, S18, B02, 1
B02, Trade, 85831.900, 109, B02, S03, 1
B02, Trade, 85869.767, 128, B02, S23, 1
B02, Trade, 85893.933, 126, B02, S18, 1
B02, Trade, 85920.917, 92, B02, S21, 1
B02, Trade, 85927.217, 111, B02, S18, 1
B02, Trade, 85935.817, 92, B02, S25, 1
B02, Trade, 85942.750, 108, S14, B02, 1
B02, Trade, 85958.483, 121, B02, S18, 1
B02, Trade, 85991.783, 102, B02, S28, 1
B02, Trade, 86006.533, 121, B02, S03, 1
B02, Trade, 86013.250, 122, B02, S22, 1
B02, Trade, 86038.917, 117, B02, S21, 1
B02, Trade, 86050.733, 119, B02, S11, 1
B02, Trade, 86057.750, 113, B02, S10, 1
B02, Trade, 86072.150, 120, B02, S17, 1
B02, Trade, 86090.283, 103, B02, S02, 1
B02, Trade, 86095.967, 116, B02, S02, 1
B02, Trade, 86112.983, 109, B02, S20, 1
B02, Trade, 86124.867, 85, B02, S09, 1
B02, Trade, 86135.133, 116, B02, S17, 1
B02, Trade, 86141.417, 121, B02, S05, 1
B02, Trade, 86150.033, 120, S26, B02, 1
