B00, 1
B05, Trade, 45246.225, 210, S00, B05, 1
B05, Trade, 46459.200, 205, B05, S00, 1
B05, Trade, 47992.375, 207, B05, S00, 1
B05, Trade, 48071.975, 212, B05, S00, 1
B05, Trade, 48199.125, 210, B05, S00, 1
B05, Trade, 48305.925, 206, B05, S00, 1
B05, Trade, 48517.875, 201, B05, S00, 1
B05, Trade, 49890.000, 207, B05, S00, 1
B05, Trade, 50576.300, 214, B05, S01, 1
B05, Trade, 50778.275, 212, B05, S01, 1
B05, Trade, 50820.650, 210, B05, S02, 1
B05, Trade, 51371.800, 211, B05, S02, 1
B05, Trade, 51938.900, 216, S02, B05, 1
B05, Trade, 52083.000, 215, B05, S01, 1
B05, Trade, 52395.300, 216, S00, B05, 1
B05, Trade, 52526.400, 217, B05, S04, 1
B05, Trade, 52744.500, 215, B05, S04, 1
B05, Trade, 52845.750, 209, S01, B05, 1
B05, Trade, 53159.675, 211, B05, S02, 1
B05, Trade, 53668.875, 218, B05, S04, 1
B05, Trade, 54076.200, 216, B05, S02, 1
B05, Trade, 54237.925, 218, B05, S04, 1
B05, Trade, 54536.900, 215, B05, S04, 1
B05, Trade, 54734.375, 215, B05, S02, 1
B05, Trade, 54985.575, 218, B05, S04, 1
B05, Trade, 55181.950, 217, B05, S04, 1
B05, Trade, 56155.700, 218, B05, S04, 1
B05, Trade, 56306.125, 214, S04, B05, 1
B05, Trade, 57348.875, 217, B05, S04, 1
B05, Trade, 57596.600, 218, B05, S04, 1
B05, Trade, 57603.975, 187, B05, S13, 1
B05, Trade, 81320.550, 97, B05, S04, 1
B05, Trade, 82362.975, 95, B05, S00, 1
B05, Trade, 83826.100, 84, B05, S00, 1
B05, Trade, 85638.600, 89, B05, S02, 1
B06, 100
B06, Trade, 49752.150, 222, B06, S00, 1
B06, Trade, 49757.825, 218, B06, S00, 1
B06, Trade, 49872.375, 209, B06, S00, 1
B06, Trade, 49881.625, 212, B06, S00, 1
B06, Trade, 49922.275, 215, B06, S00, 1
B06, Trade, 49985.850, 213, B06, S00, 1
B06, Trade, 50008.875, 210, B06, S00, 1
B06, Trade, 50034.900, 218, B06, S00, 1
B06, Trade, 50057.250, 216, B06, S04, 1
B06, Trade, 50065.225, 208, B06, S00, 1
B06, Trade, 50078.975, 214, B06, S01, 1
B06, Trade, 50098.775, 219, B06, S00, 1
B06, Trade, 50131.050, 216, B06, S04, 1
B06, Trade, 50167.625, 217, B06, S01, 1
B06, Trade, 50190.450, 204, B06, S00, 1
B06, Trade, 50196.125, 220, B06, S00, 1
B06, Trade, 50222.025, 221, B06, S04, 1
B06, Trade, 50273.700, 203, B06, S00, 1
B06, Trade, 50282.450, 214, B06, S01, 1
B06, Trade, 50325.975, 219, S03, B06, 1
B06, Trade, 50383.025, 220, B06, S04, 1
B06, Trade, 57790.725, 100, B06, S01, 1
B06, Trade, 57829.925, 101, B06, S02, 1
B06, Trade, 57987.575, 103, B06, S01, 1
B06, Trade, 58032.875, 100, B06, S02, 1
B06, Trade, 58042.100, 97, S05, B06, 1
B06, Trade, 58643.350, 102, B06, S04, 1
B06, Trade, 58888.375, 102, B06, S03, 1
B06, Trade, 59587.200, 101, B06, S01, 1
B06, Trade, 59712.000, 104, B06, S05, 1
B06, Trade, 59774.400, 99, B06, S03, 1
B06, Trade, 59926.875, 104, S05, B06, 1
B06, Trade, 60071.025, 101, B06, S02, 1
B06, Trade, 60278.900, 103, S05, B06, 1
B06, Trade, 60507.100, 103, B06, S01, 1
B06, Trade, 60593.300, 101, B06, S01, 1
B06, Trade, 60677.400, 96, B06, S01, 1
B06, Trade, 60695.425, 103, B06, S03, 1
B06, Trade, 61090.050, 104, B06, S01, 1
B06, Trade, 61296.550, 103, B06, S02, 1
B06, Trade, 61330.200, 104, B06, S00, 1
